Company,Revenues ($M),Profits ($M),Assets ($M),Employees,Sector,Industry,City,State
Sentry Insurance Group,"$3,346 ",$288.50 ,"$17,302 ","4,139",Financials,Insurance: Property and Casualty (Mutual),Stevens Point,WI
Sanderson Farms,"$3,342 ",$279.70 ,"$1,733 ","14,669","Food, Beverages &  Tobacco",Food Production,Laurel,MS
KapStone Paper & Packaging,"$3,316 ",$243.50 ,"$3,324 ","6,400",Materials,"Packaging, Containers",Northbrook,IL
Gartner,"$3,312 ",$3.30 ,"$7,283 ","15,131",Technology,Information Technology Services,Stamford,CT
IAC/InterActiveCorp,"$3,307.20 ",$304.90 ,"$5,867.80 ",7000,Technology,Internet Services and Retailing,New York City,NY
Tailored Brands,"$3,304 ",$96.70 ,"$2,000 ","18,200",Retailing,Specialty Retailers: Apparel,Houston,TX
WABCO Holdings,"$3,304 ",$406.10 ,"$4,323 ","14,631",Motor Vehicles &  Parts,Motor Vehicles and Parts,Rochester Hills,MI
Insperity,"$3,300 ",$84.40 ,"$1,064 ","2,900",Business Services,Diversified Outsourcing Services,Houston,TX
Comerica,"$3,289 ",$743.00 ,"$71,567 ","7,999",Financials,Commercial Banks,Dallas,TX
TriNet Group,"$3,275 ",$178.00 ,"$2,593 ","2,700",Business Services,Diversified Outsourcing Services,San Leandro,CA
Avaya Holdings,"$3,272 ",-,"$5,898 ","8,700",Technology,Information Technology Services,Santa Clara,CA
Ashland Global Holdings,"$3,260 ",$1.00 ,"$8,618 ","6,500",Chemicals,Chemicals,Covington,KY
Meritage Homes,"$3,241 ",$143.30 ,"$3,251 ","1,605",Engineering &  Construction,Homebuilders,Scottsdale,AZ
SkyWest,"$3,204 ",$428.90 ,"$5,458 ","16,300",Transportation,Airlines,St. George,UT
USG,"$3,204 ",$88.00 ,"$3,851 ","6,800",Materials,"Building Materials, Glass",Chicago,IL
Southwestern Energy,"$3,203 ","$1,046.00 ","$7,521 ","1,575",Energy,"Mining, Crude-Oil Production",Spring,TX
Keysight Technologies,"$3,189 ",$102.00 ,"$5,933 ","12,600",Technology,"Scientific,Photographic and  Control Equipment",Santa Rosa,CA
Regal Entertainment Group,"$3,163 ",$112.30 ,"$2,843 ","26,047",Media,Entertainment,Knoxville,TN
Mutual of America Life Insurance,"$3,163 ",$26.20 ,"$21,194 ","1,079",Financials,"Insurance: Life, Health (Mutual)",New York,NY
