Company,Revenues ($M),Profits ($M),Assets ($M),Employees,Sector,Industry,City,State,revenue,employees
Best Buy,"$42,151 ","$1,000.00 ","$13,049 ","125,000",Retailing,Specialty Retailers: Other,Richfield,MN,42151.0,125000
Cigna,"$41,616 ","$2,237.00 ","$61,753 ","46,000",Health Care,Health Care: Insurance and Managed Care,Bloomfield,CT,41616.0,46000
Charter Communications,"$41,581 ","$9,895.00 ","$146,623 ","94,800",Telecommunications,Telecommunications,Stamford,CT,41581.0,94800
Delta Air Lines,"$41,244 ","$3,577.00 ","$53,292 ","86,564",Transportation,Airlines,Atlanta,GA,41244.0,86564
Facebook,"$40,653 ","$15,934.00 ","$84,524 ","25,105",Technology,Internet Services and Retailing,Menlo Park,CA,40653.0,25105
Honeywell International,"$40,534 ","$1,655.00 ","$59,387 ","131,000",Industrials,"Electronics, Electrical Equip.",Morris Plains,NJ,40534.0,131000
Merck,"$40,122 ","$2,394.00 ","$87,872 ","69,000",Health Care,Pharmaceuticals,Kenilworth,NJ,40122.0,69000
Allstate,"$38,524 ","$3,189.00 ","$112,422 ","42,680",Financials,Insurance: Property and Casualty (Stock),Northbrook,IL,38524.0,42680
Tyson Foods,"$38,260 ","$1,774.00 ","$28,066 ","122,000","Food, Beverages &  Tobacco",Food Production,Springdale,AR,38260.0,122000
United Continental Holdings,"$37,736 ","$2,131.00 ","$42,326 ","89,800",Transportation,Airlines,Chicago,IL,37736.0,89800
Oracle,"$37,728 ","$9,335.00 ","$134,991 ","138,000",Technology,Computer Software,Redwood City,CA,37728.0,138000
Tech Data,"$36,775 ",$116.60 ,"$12,653 ","14,000",Wholesalers,Wholesalers: Electronics and Office Equipment,Clearwater,FL,36775.0,14000
TIAA,"$36,025 ","$1,049.70 ","$583,632 ","16,829",Financials,"Insurance: Life, Health (Mutual)",New York,NY,36025.0,16829
TJX,"$35,865 ","$2,607.90 ","$14,058 ","249,000",Retailing,Specialty Retailers: Apparel,Framingham,MA,35865.0,249000
American Express,"$35,583 ","$2,736.00 ","$181,159 ","55,000",Financials,Diversified Financials,New York,NY,35583.0,55000
Coca-Cola,"$35,410 ","$1,248.00 ","$87,896 ","61,800","Food, Beverages &  Tobacco",Beverages,Atlanta,GA,35410.0,61800
Publix Super Markets,"$34,837 ","$2,291.90 ","$18,184 ","193,000",Food &  Drug Stores,Food and Drug Stores,Lakeland,FL,34837.0,193000
Nike,"$34,350 ","$4,240.00 ","$23,259 ","74,400",Apparel,Apparel,Beaverton,OR,34350.0,74400
Andeavor,"$34,204 ","$1,528 ","$28,573 ",14300,Energy,Petroleum Refining,San Antonio,TX,34204.0,14300
World Fuel Services,"$33,696 ",($170.20),"$5,588 ","5,000",Energy,Energy,Miami,FL,33696.0,5000
Exelon,"$33,531 ","$3,770.00 ","$116,700 ","34,621",Energy,Utilities: Gas and Electric,Chicago,IL,33531.0,34621
Massachusetts Mutual Life Insurance,"$33,495 ",$513.00 ,"$288,855 ","11,811",Financials,"Insurance: Life, Health (Mutual)",Springfield,MA,33495.0,11811
Rite Aid,"$32,845 ",$4.10 ,"$11,594 ","70,430",Food &  Drug Stores,Food and Drug Stores,Camp Hill,PA,32845.0,70430
ConocoPhillips,"$32,584 ",($855.00),"$73,362 ","11,400",Energy,"Mining, Crude-Oil Production",Houston,TX,32584.0,11400
CHS,"$31,935 ",$127.90 ,"$15,974 ","11,626","Food, Beverages &  Tobacco",Food Production,Inver Grove Heights,MN,31935.0,11626
3M,"$31,657 ","$4,858.00 ","$37,987 ","91,536",Industrials,Miscellaneous,St Paul,MN,31657.0,91536
Time Warner,"$31,271 ","$5,247.00 ","$69,209 ","26,000",Media,Entertainment,New York,NY,31271.0,26000
General Dynamics,"$30,973 ","$2,912.00 ","$35,046 ","98,600",Aerospace &  Defense,Aerospace and Defense,Falls Church,VA,30973.0,98600
USAA,"$30,016 ","$2,421.90 ","$155,391 ","32,705",Financials,Insurance: Property and Casualty (Stock),San Antonio,TX,30016.0,32705
Capital One Financial,"$29,999 ","$1,982.00 ","$365,693 ","49,300",Financials,Commercial Banks,McLean,VA,29999.0,49300
Deere,"$29,738 ","$2,159.10 ","$65,786 ","60,476",Industrials,Construction and Farm Machinery,Moline,IL,29738.0,60476
INTL FCStone,"$29,424 ",$6.40 ,"$6,243 ","1,607",Financials,Diversified Financials,New York,NY,29424.0,1607
Northwestern Mutual,"$29,331 ","$1,017.00 ","$265,049 ","5,437",Financials,"Insurance: Life, Health (Mutual)",Milwaukee,WI,29331.0,5437
Enterprise Products Partners,"$29,242 ","$2,799.30 ","$54,418 ","7,000",Energy,Pipelines,Houston,TX,29242.0,7000
Travelers Cos.,"$28,902 ","$2,056.00 ","$103,483 ","30,800",Financials,Insurance: Property and Casualty (Stock),New York,NY,28902.0,30800
Hewlett Packard Enterprise,"$28,871 ",$344.00 ,"$61,406 ","66,000",Technology,"Computers, Office Equipment",Palo Alto,CA,28871.0,66000
Philip Morris International,"$28,748 ","$6,035.00 ","$42,968 ","80,600","Food, Beverages &  Tobacco",Tobacco,New York,NY,28748.0,80600
Twenty-First Century Fox,"$28,500 ","$2,952.00 ","$50,724 ","21,700",Media,Entertainment,New York,NY,28500.0,21700
AbbVie,"$28,216 ","$5,309.00 ","$70,786 ","29,000",Health Care,Pharmaceuticals,North Chicago,IL,28216.0,29000
Abbott Laboratories,"$27,390 ",$477.00 ,"$76,250 ","99,000",Health Care,Medical Products and Equipment,Lake Bluff,IL,27390.0,99000
