Company,Revenues ($M),Profits ($M),Assets ($M),Employees,Sector,Industry,City,State,revenue,employees
SCANA,"$4,407 ",($119.00),"$18,739 ","5,228",Energy,Utilities: Gas and Electric,Cayce,SC,4407.0,5228
Graphic Packaging Holding,"$4,404 ",$300.20 ,"$4,863 ","13,000",Materials,"Packaging, Containers",Atlanta,GA,4404.0,13000
Fastenal,"$4,391 ",$578.60 ,"$2,911 ","20,565",Wholesalers,Wholesalers: Diversified,Winona,MN,4391.0,20565
Schneider National,"$4,384 ",$389.90 ,"$3,331 ","19,600",Transportation,"Trucking, Truck Leasing",Green Bay,WI,4384.0,19600
Laureate Education,"$4,378 ",$91.50 ,"$7,392 ","54,500",Business Services,Education,Baltimore,MD,4378.0,54500
Beacon Roofing Supply,"$4,377 ",$100.90 ,"$3,450 ","5,406",Wholesalers,Wholesalers: Diversified,Herndon,VA,4377.0,5406
KB Home,"$4,369 ",$180.60 ,"$5,042 ","1,915",Engineering &  Construction,Homebuilders,Los Angeles,CA,4369.0,1915
Equinix,"$4,368 ",$233.00 ,"$18,692 ","7,273",Financials,Real estate,Redwood City,CA,4368.0,7273
Terex,"$4,363 ",$128.70 ,"$3,463 ","10,700",Industrials,Construction and Farm Machinery,Westport,CT,4363.0,10700
Crown Castle International,"$4,356 ",$444.60 ,"$32,230 ","4,500",Financials,Real estate,Houston,TX,4356.0,4500
CACI International,"$4,355 ",$163.70 ,"$3,911 ","18,600",Technology,Information Technology Services,Arlington,VA,4355.0,18600
Watsco,"$4,342 ",$208.20 ,"$2,047 ","5,200",Wholesalers,Wholesalers: Diversified,Miami,FL,4342.0,5200
Coca-Cola Bottling,"$4,324 ",$96.50 ,"$3,073 ","15,500","Food, Beverages &  Tobacco",Beverages,Charlotte,NC,4324.0,15500
Welltower,"$4,317 ",$522.80 ,"$27,944 ",392,Financials,Real estate,Toledo,OH,4317.0,392
ADT,"$4,316 ",$342.60 ,"$17,015 ","18,000",Business Services,Diversified Outsourcing Services,Boca Raton,FL,4316.0,18000
Ametek,"$4,300 ",$681.50 ,"$7,796 ","16,900",Technology,"Scientific,Photographic and  Control Equipment",Berwyn,PA,4300.0,16900
CNO Financial Group,"$4,297 ",$175.60 ,"$33,110 ","3,300",Financials,"Insurance: Life, Health (stock)",Carmel,IN,4297.0,3300
Camping World Holdings,"$4,285 ",$28.40 ,"$2,562 ","10,227",Retailing,"Automotive Retailing, Services",Lincolnshire,IL,4285.0,10227
LPL Financial Holdings,"$4,282 ",$238.90 ,"$5,359 ","3,736",Financials,Securities,Boston,MA,4282.0,3736
Noble Energy,"$4,256 ","($1,118.00)","$21,476 ","2,277",Energy,"Mining, Crude-Oil Production",Houston,TX,4256.0,2277
Bloomin Brands,"$4,213 ",$100.20 ,"$2,573 ","94,000","Hotels, Restaurants &  Leisure",Food Services,Tampa,FL,4213.0,94000
Moodys,"$4,204 ","$1,000.60 ","$8,594 ","11,896",Business Services,Financial Data Services,New York,NY,4204.0,11896
